B20	B20	Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias
B200	B20.0	Enfermedad por VIH, resultante en infección por micobacterias
B201	B20.1	Enfermedad por VIH, resultante en otras infecciones bacterianas
B202	B20.2	Enfermedad por VIH, resultante en enfermedad por citomegalovirus
B203	B20.3	Enfermedad por VIH, resultante en otras infecciones virales
B204	B20.4	Enfermedad por VIH, resultante en candidiasis
B205	B20.5	Enfermedad por VIH, resultante en otras micosis
B206	B20.6	Enfermedad por VIH, resultante en neumonía por Pneumocystis carinii
B207	B20.7	Enfermedad por VIH, resultante en infecciones múltiples
B208	B20.8	Enfermedad por VIH, resultante en otras enfermedades infecciosas o parasitarias
B209	B20.9	Enfermedad por VIH, resultante en enfermedad infecciosa o parasitaria no especificada
B21	B21	Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en tumores malignos
B210	B21.0	Enfermedad por VIH, resultante en sarcoma de Kaposi
B211	B21.1	Enfermedad por VIH, resultante en linfoma de Burkitt
B212	B21.2	Enfermedad por VIH, resultante en otros tipos de linfoma no Hodgkin
B213	B21.3	Enfermedad por VIH, resultante en otros tumores malignos del tejido linfoide, hematopoyético y tejidos relacionados
B217	B21.7	Enfermedad por VIH, resultante en tumores malignos múltiples
B218	B21.8	Enfermedad por VIH, resultante en otros tumores malignos
B219	B21.9	Enfermedad por VIH, resultante en tumores malignos no especificados
B22	B22	Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras enfermedades especificadas
B220	B22.0	Enfermedad por VIH, resultante en encefalopatía
B221	B22.1	Enfermedad por VIH, resultante en neumonitis linfoide intersticial
B222	B22.2	Enfermedad por VIH, resultante en síndrome caquéctico
B227	B22.7	Enfermedad por VIH, resultante en enfermedades múltiples clasificadas en otra parte
